"Series","DI-800"
"Product","DI-808"
"Description","Example configuration of DI-808"
"Sample Interval (sec)",0.125000
"Channel Number","Channel Type","Moving Average Filter","Input Range (Volts) (min)","Input Range (Volts) (max)","Thermocouple Type","Engineering Units Range (min)","Engineering Units Range (max)","Engineering Units"
"Analog Channel 1","Thermocouple",0,,,"J",-210.000000,1200.000000,"C"
"Record On Boot",false
"Record Start Source","None"
"Record Stop Source","None"
"Rearm",true
,"Analog Channel 1"
"Date/Time (UTC)","An analog voltage input channel"
2022-07-25 18:39:39,-210.021516
2022-07-25 18:39:39,-210.021516
2022-07-25 18:39:39,-210.021516
2022-07-25 18:39:39,-210.021516
2022-07-25 18:39:39,-210.021516
2022-07-25 18:39:39,-210.021516
2022-07-25 18:39:39,-210.021516
2022-07-25 18:39:39,-210.021516
2022-07-25 18:39:40,-210.021516
2022-07-25 18:39:40,-210.021516
2022-07-25 18:39:40,-210.021516
2022-07-25 18:39:40,-210.021516
2022-07-25 18:39:40,-210.021516
2022-07-25 18:39:40,-210.021516
2022-07-25 18:39:40,-210.021516
2022-07-25 18:39:40,-210.021516
2022-07-25 18:39:41,-210.021516
2022-07-25 18:39:41,-210.021516
